transaccion_id,cliente_id,producto_id,fecha,monto,tipo_transaccion
T00001,C0134,P005,2025-04-19,-1177.65,debito
T00002,C0016,P004,2025-04-07,2693.74,abono
T00003,C0080,P003,2025-03-30,-3409.26,debito
T00004,C0010,P003,2025-03-01,-4856.28,debito
T00005,C0154,P004,2025-04-26,-1907.8,debito
T00006,C0069,P002,2024-12-19,-1731.55,debito
T00007,C0126,P005,2025-01-11,-1202.99,debito
T00008,C0167,P002,2025-04-07,1132.88,abono
T00009,C0182,P004,2025-01-27,-3919.97,debito
T00010,C0190,P001,2025-03-18,-2844.74,debito
T00011,C0109,P001,2025-02-26,371.22,abono
T00012,C0194,P001,2025-03-09,1306.88,abono
T00013,C0192,P001,2025-02-17,1272.04,abono
T00014,C0113,P001,2025-04-17,3496.71,abono
T00015,C0109,P004,2025-01-31,3575.74,abono
T00016,C0135,P004,2025-04-09,783.03,abono
T00017,C0141,P004,2025-01-20,4988.82,abono
T00018,C0076,P001,2025-01-17,1370.57,abono
T00019,C0076,P003,2024-12-24,-6837.01,debito
T00020,C0158,P003,2025-01-06,-2894.93,debito
T00021,C0043,P002,2024-12-23,213.6,abono
T00022,C0176,P002,2025-03-10,-2435.15,debito
T00023,C0183,P003,2025-04-20,-4451.43,debito
T00024,C0065,P004,2025-01-04,-4774.52,debito
T00025,C0085,P002,2025-01-10,2678.13,abono
T00026,C0184,P004,2025-02-28,2266.53,abono
T00027,C0107,P002,2025-04-13,2786.82,abono
T00028,C0018,P001,2025-05-29,2983.85,abono
T00029,C0049,P002,2025-03-08,-593.55,debito
T00030,C0138,P004,2025-01-22,1879.79,abono
T00031,C0016,P005,2024-12-20,-1717.85,debito
T00032,C0041,P001,2025-01-06,4025.54,abono
T00033,C0144,P002,2025-01-12,2377.99,abono
T00034,C0004,P002,2025-01-03,4917.94,abono
T00035,C0110,P005,2024-12-04,-2809.81,debito
T00036,C0095,P005,2025-03-09,-5720.53,debito
T00037,C0066,P005,2025-01-21,-5594.47,debito
T00038,C0169,P002,2025-05-29,796.05,abono
T00039,C0040,P001,2025-03-13,-3572.15,debito
T00040,C0072,P002,2025-04-08,3494.27,abono
T00041,C0027,P002,2024-12-25,-6012.76,debito
T00042,C0151,P004,2025-05-09,1663.5,abono
T00043,C0198,P005,2025-03-01,-1565.08,debito
T00044,C0189,P005,2025-05-10,-4986.71,debito
T00045,C0122,P002,2025-03-17,4057.03,abono
T00046,C0060,P002,2025-02-25,1775.9,abono
T00047,C0158,P002,2025-02-20,526.07,abono
T00048,C0122,P001,2025-01-04,4705.59,abono
T00049,C0014,P002,2024-12-11,-2801.08,debito
T00050,C0113,P004,2025-05-23,-3638.73,debito
T00051,C0084,P003,2025-02-27,-5868.84,debito
T00052,C0031,P002,2025-05-01,-4739.56,debito
T00053,C0097,P004,2025-02-13,-5154.46,debito
T00054,C0091,P003,2024-12-15,-1487.23,debito
T00055,C0082,P005,2025-03-27,2730.17,abono
T00056,C0155,P002,2024-12-11,-4879.62,debito
T00057,C0163,P003,2024-12-29,-1622.99,debito
T00058,C0112,P005,2025-03-14,916.03,abono
T00059,C0178,P003,2025-01-26,-6875.71,debito
T00060,C0143,P004,2025-06-01,-3630.95,debito
T00061,C0046,P001,2024-12-23,-1847.98,debito
T00062,C0120,P003,2025-04-20,-6973.89,debito
T00063,C0055,P005,2025-03-22,-6758.97,debito
T00064,C0049,P004,2025-04-25,2813.55,abono
T00065,C0192,P001,2025-01-12,4419.05,abono
T00066,C0093,P005,2025-03-07,984.1,abono
T00067,C0151,P003,2025-02-22,1430.41,abono
T00068,C0095,P003,2025-02-21,-4911.49,debito
T00069,C0004,P005,2025-05-08,4240.97,abono
T00070,C0166,P003,2025-06-01,-5998.58,debito
T00071,C0102,P001,2025-01-26,-2849.42,debito
T00072,C0181,P003,2025-03-25,4444.46,abono
T00073,C0015,P005,2025-03-23,-5960.97,debito
T00074,C0184,P004,2025-04-16,-6551.38,debito
T00075,C0162,P004,2025-05-24,-5503.82,debito
T00076,C0122,P005,2025-01-09,-4692.85,debito
T00077,C0010,P003,2025-01-09,2924.4,abono
T00078,C0183,P002,2025-04-01,-2624.81,debito
T00079,C0046,P002,2024-12-30,4703.66,abono
T00080,C0031,P001,2025-01-02,4869.64,abono
T00081,C0182,P001,2024-12-15,1455.41,abono
T00082,C0140,P003,2024-12-02,-2158.39,debito
T00083,C0050,P005,2025-02-22,-3414.73,debito
T00084,C0086,P003,2025-03-20,-3155.52,debito
T00085,C0044,P005,2025-01-24,-6961.37,debito
T00086,C0094,P005,2025-01-13,920.83,abono
T00087,C0171,P004,2025-04-10,139.47,abono
T00088,C0171,P001,2025-04-09,2494.77,abono
T00089,C0195,P005,2025-02-23,935.17,abono
T00090,C0069,P001,2025-04-06,1864.02,abono
T00091,C0012,P003,2025-05-20,-5216.87,debito
T00092,C0177,P005,2025-04-25,3618.65,abono
T00093,C0163,P001,2025-03-26,1574.9,abono
T00094,C0144,P003,2025-04-01,2735.57,abono
T00095,C0120,P005,2025-05-21,-3576.43,debito
T00096,C0023,P005,2025-02-17,-4465.24,debito
T00097,C0023,P001,2025-03-11,-1775.72,debito
T00098,C0047,P001,2025-03-30,2969.86,abono
T00099,C0152,P001,2025-05-17,-6852.88,debito
T00100,C0003,P002,2025-05-02,-3422.59,debito
T00101,C0118,P001,2024-12-15,-6345.51,debito
T00102,C0064,P003,2025-01-01,-3057.73,debito
T00103,C0165,P002,2025-01-27,-2470.05,debito
T00104,C0189,P002,2025-04-18,3243.26,abono
T00105,C0098,P003,2025-03-16,3361.17,abono
T00106,C0036,P005,2025-01-23,4327.63,abono
T00107,C0058,P002,2024-12-24,1189.42,abono
T00108,C0052,P002,2025-04-07,-3509.38,debito
T00109,C0067,P004,2025-04-09,2881.42,abono
T00110,C0126,P003,2025-05-23,-5386.82,debito
T00111,C0090,P005,2025-03-03,265.84,abono
T00112,C0162,P002,2025-03-02,4973.03,abono
T00113,C0150,P004,2024-12-16,2376.23,abono
T00114,C0146,P002,2024-12-09,-1978.54,debito
T00115,C0112,P003,2025-02-19,-6187.95,debito
T00116,C0175,P003,2025-01-29,3751.21,abono
T00117,C0180,P005,2025-01-16,-6672.91,debito
T00118,C0191,P003,2024-12-18,1687.21,abono
T00119,C0198,P002,2025-05-27,2786.19,abono
T00120,C0120,P003,2025-05-03,2882.85,abono
T00121,C0030,P005,2025-03-17,-6862.91,debito
T00122,C0048,P004,2025-05-24,422.96,abono
T00123,C0151,P003,2025-06-02,1563.2,abono
T00124,C0097,P005,2025-04-04,-1360.65,debito
T00125,C0083,P001,2025-01-20,-1901.27,debito
T00126,C0003,P002,2024-12-09,2452.14,abono
T00127,C0086,P003,2025-04-19,-2627.63,debito
T00128,C0026,P002,2025-02-26,-2781.0,debito
T00129,C0079,P002,2025-03-31,-5914.17,debito
T00130,C0048,P001,2025-05-18,4653.58,abono
T00131,C0158,P004,2025-01-04,-520.8,debito
T00132,C0178,P004,2025-03-19,-1486.16,debito
T00133,C0122,P002,2025-03-28,3372.16,abono
T00134,C0096,P005,2025-03-01,1825.3,abono
T00135,C0174,P004,2024-12-18,1308.11,abono
T00136,C0060,P005,2025-02-03,1511.69,abono
T00137,C0110,P003,2025-01-31,-2278.18,debito
T00138,C0103,P005,2025-04-03,4250.92,abono
T00139,C0132,P002,2025-05-07,-982.25,debito
T00140,C0153,P005,2025-01-31,3559.11,abono
T00141,C0146,P002,2025-04-07,2786.46,abono
T00142,C0086,P001,2025-01-23,-2096.68,debito
T00143,C0080,P002,2025-05-23,-2955.87,debito
T00144,C0118,P004,2025-04-29,1318.22,abono
T00145,C0001,P002,2025-03-12,3076.99,abono
T00146,C0045,P003,2025-02-23,453.89,abono
T00147,C0048,P002,2025-01-28,-66.14,debito
T00148,C0112,P001,2025-01-30,-4406.42,debito
T00149,C0040,P005,2025-05-28,-1384.09,debito
T00150,C0096,P001,2025-02-13,-524.46,debito
T00151,C0089,P001,2025-03-06,-2795.58,debito
T00152,C0176,P004,2025-05-31,-383.86,debito
T00153,C0121,P004,2025-04-01,-6209.72,debito
T00154,C0181,P002,2025-03-11,-222.49,debito
T00155,C0025,P004,2025-02-15,2915.38,abono
T00156,C0196,P002,2025-01-05,2220.45,abono
T00157,C0084,P003,2025-02-06,-4714.02,debito
T00158,C0187,P004,2025-04-19,-2317.22,debito
T00159,C0137,P001,2025-03-26,817.46,abono
T00160,C0172,P005,2025-04-20,4910.11,abono
T00161,C0156,P002,2025-01-08,-5877.37,debito
T00162,C0095,P003,2025-03-12,4309.0,abono
T00163,C0001,P005,2025-05-20,-1774.25,debito
T00164,C0102,P001,2025-02-20,-300.68,debito
T00165,C0036,P004,2025-04-08,1551.16,abono
T00166,C0055,P003,2024-12-24,2708.56,abono
T00167,C0087,P004,2025-05-29,-2306.76,debito
T00168,C0109,P002,2025-03-23,4147.95,abono
T00169,C0100,P004,2025-01-14,1394.14,abono
T00170,C0108,P002,2024-12-30,4828.0,abono
T00171,C0175,P005,2025-03-12,-3217.14,debito
T00172,C0120,P001,2025-03-13,4218.01,abono
T00173,C0188,P001,2024-12-19,-1384.83,debito
T00174,C0104,P001,2025-06-01,2086.2,abono
T00175,C0033,P005,2025-05-18,-4905.6,debito
T00176,C0176,P004,2025-02-24,734.85,abono
T00177,C0168,P004,2024-12-23,707.09,abono
T00178,C0014,P003,2025-05-03,4849.21,abono
T00179,C0190,P001,2025-03-03,-5010.73,debito
T00180,C0116,P005,2025-04-12,253.28,abono
T00181,C0122,P003,2025-03-05,-2809.78,debito
T00182,C0094,P001,2025-01-21,-3051.64,debito
T00183,C0109,P005,2025-05-03,-5215.98,debito
T00184,C0173,P001,2025-05-30,1291.76,abono
T00185,C0087,P005,2025-01-15,962.45,abono
T00186,C0132,P005,2025-03-12,-593.68,debito
T00187,C0117,P004,2025-02-10,2170.16,abono
T00188,C0073,P001,2025-05-19,3458.07,abono
T00189,C0126,P004,2025-03-05,338.06,abono
T00190,C0154,P003,2025-05-11,4580.31,abono
T00191,C0087,P003,2025-05-09,-3113.2,debito
T00192,C0007,P005,2025-01-21,1236.95,abono
T00193,C0076,P003,2025-04-25,514.67,abono
T00194,C0115,P003,2025-02-15,955.19,abono
T00195,C0010,P005,2025-05-21,4676.34,abono
T00196,C0188,P001,2025-03-04,-4478.75,debito
T00197,C0102,P002,2025-05-01,2607.65,abono
T00198,C0137,P001,2025-01-22,3302.7,abono
T00199,C0038,P004,2025-01-25,2206.58,abono
T00200,C0071,P003,2025-03-19,-5118.37,debito
T00201,C0177,P005,2025-06-02,286.19,abono
T00202,C0188,P005,2025-03-01,-3975.28,debito
T00203,C0011,P001,2024-12-29,835.3,abono
T00204,C0010,P002,2025-03-10,-867.55,debito
T00205,C0186,P001,2025-02-03,1742.3,abono
T00206,C0186,P001,2025-03-13,504.41,abono
